Title, Location , Website , Phone number
Abitare UK,Caroline St' Wigan WN3 4EL' United Kingdom,abitareuk.com,+44 1942 248842
Viaduct Furniture,1-10 Summers St' London EC1R 5BD' United Kingdom,viaduct.co.uk,+44 20 7278 8456
My Furniture,1 Mark St' Sandiacre' Nottingham NG10 5AD' United Kingdom,my-furniture.co.uk,+44 800 092 1636
Furniture to Go,Interchange Park' 3 Keel Cl' Portsmouth PO3 5QD' United Kingdom,furniture-to-go.co.uk,+44 23 8051 7067
Haus®,39 Morpeth Rd' London E9 7LD' United Kingdom,hauslondon.com,+44 20 8533 8024
Oak Furniture UK,19-21 Guard St' Workington CA14 4EN' United Kingdom,oakfurnitureuk.com,+44 1900 871006
Furniture Village Bristol,Lysander Rd' Patchway' Bristol BS10 7TX' United Kingdom,furniturevillage.co.uk,+44 117 941 9580
JS Furniture,624 Bradford Rd' Batley WF17 8HF' United Kingdom,jsfurniture.co.uk,+44 1924 470222
Choice Furniture Superstore,Grosvenor House' Grosvenor St' Leicester LE1 3LR' United Kingdom,choicefurnituresuperstore.co.uk,+44 116 296 3800
Furniture Village Reading,Forbury Retail Park' Reading RG1 3JD' United Kingdom,furniturevillage.co.uk,Not specified
Vale Furnishers Ltd,Wharf Rd' Ash Vale' Ash' Aldershot GU12 5AS' United Kingdom,valefurnishers.co.uk,+44 1252 325525
Magnum Furniture Store Ltd,33 Lord St' Leigh WN7 1BY' United Kingdom,magnumfurniture.co.uk,+44 1942 261563
UK Furniture,64 Sydenham Rd' London SE26 5QE' United Kingdom,Not specified,CWGX+8V London, United Kingdom
TR Hayes,15-18 London St' Walcot St' Bath BA1 5BX' United Kingdom,trhayes.co.uk,+44 1225 465757
Lucas Furniture,Sir Henry Lee Cres' Aylesbury HP18 0PE' United Kingdom,lucas-furniture.co.uk,+44 1296 486255
Lakeland Furniture,Glebe St' Shaw' Oldham OL2 7SF' United Kingdom,lakeland-furniture.co.uk,+44 161 694 2790
Harrison & Brown Furniture Ltd,8-10' 8-10 Holmeside' Sunderland SR1 3JE' United Kingdom,harrisonandbrown.co.uk,+44 191 567 8567
Furnipol,Flat 3' Emma Court' 2 Castlemain Ave' Bournemouth BH6 5EQ' United Kingdom,furnipol.co.uk,+44 7931 934965
Fishpools,115 High St' Waltham Cross EN8 7AL' United Kingdom,fishpools.co.uk,+44 1992 636465
FCI London,Rays House' N Circular Rd.' London NW10 7XP' United Kingdom,fcilondon.co.uk,+44 20 8961 7780
Magnum Furniture Store Ltd,33 Lord St' Leigh WN7 1BY' United Kingdom,magnumfurniture.co.uk,+44 1942 261563
Lakeland Furniture,Glebe St' Shaw' Oldham OL2 7SF' United Kingdom,lakeland-furniture.co.uk,+44 161 694 2790
Haskins Furniture,64 High St' Shepton Mallet BA4 5AX' United Kingdom,haskinsfurniture.co.uk,Not specified
Stocktons,140 Great Ancoats St' Manchester M4 6DU' United Kingdom,stocktons.co.uk,+44 161 273 5331
Harrison & Brown Furniture Ltd,8-10' 8-10 Holmeside' Sunderland SR1 3JE' United Kingdom,harrisonandbrown.co.uk,+44 191 567 8567
Fishpools,115 High St' Waltham Cross EN8 7AL' United Kingdom,fishpools.co.uk,+44 1992 636465
The Painted Furniture Company,17-19 Gosditch St' Cirencester GL7 2AH' United Kingdom,paintedfurnitureco.co.uk,Not specified
Furnish.co.uk,63/66 Hatton Garden' Fifth Floor' Suite 23' London EC1N 8LE' United Kingdom,furnish.co.uk,Not specified
Your Home Furniture,Beaumond Cross' Portland St' Newark NG24 4XG' United Kingdom,yourhomefurniture.co.uk,+44 1636 859111
Carters Furniture Centre,Caldwell Mill' Tram St' Kidderminster DY10 1AQ' United Kingdom,cartersfurnitureonline.co.uk,+44 1562 755766
Meyer & Marsh,Bishop's Frome' Five Bridges' Worcester WR6 5BT' United Kingdom,meyerandmarsh.co.uk,Not specified
Right Deals,Suite 325B' Empire Business Park' Empire Way' Burnley BB12 6HH' United Kingdom,rightdealsuk.co.uk,+44 844 880 0077
Stollers Furniture World LTD,Walney Rd' Barrow-in-Furness LA14 5UN' United Kingdom,stollers.co.uk,+44 1229 820679
Willoby's Furniture Co,34 Wood St' Swindon SN1 4AB' United Kingdom,willobysfurniture.co.uk,+44 1793 693696
Home Store Living,Beavan Bldg' 61 Shields Rd' Newcastle upon Tyne NE6 1DL' United Kingdom,homestoreliving.co.uk,+44 191 265 7988
